compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
8-azahypoxanthine	OEEYCNOOAHGFHL-UHFFFAOYSA-N	[M-H]-	136.0264597	0.642816486	0.442816486	0.84281649		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_9_P-2-R-A_1_Rg90to1350-CE102040--S1_Run52.mzML	HF_Aug2019	
3,4-dihydroxyphenylglycol	MTVWFVDWRVYDOR-UHFFFAOYSA-N	[M-H]-	169.0506088	0.64995181	0.44995181	0.84995181		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_30_P-4-R-F_1_Rg70to1050-CE102040--S1_Run164.mzML	HF_Aug2019	
CYTARABINE	UHDGCWIWMRVCDJ-STUHELBRSA-N	[M-H]-	242.078244516	0.6519296346210197	0.15192963462101972	1.1519296346210197		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_15_MS-P2-C6_1_Rg80to1200-CE205060norm--S1_Run89.h5	HF_Aug2019	
2'-deoxyguanosine 5'-monophosphate, sodium salt hydrate	XXNLSBVJJXIAFD-KVQBGUIXSA-N	[M-H]-	346.0557844	0.68212032	0.48212032	0.88212032		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_27_P-4-R-C_1_Rg90to1350-CE102040--S1_Run142.mzML	HF_Aug2019	
3-Hydroxy-L-Phenylalanine	JZKXXXDKRQWDET-QMMMGPOBSA-N	[M-H]-	180.066617212	0.6838074136103707	0.1838074136103706	1.183807413610371		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_KG_510479_Brassica_final-set2_IQX_C18_USDAY94873/20250403_JGI_KG_510479_Brassica_final-set2_IQX_C18_USDAY94873_NEG_MS2_RefStd-5-10ugmL_Hydroxy-L-Phenylalanine_2_Rg80to1200-CE205060norm-10ugmL-S1_Run448.h5	HF_Aug2019	
succinate	KDYFGRWQOYBRFD-UHFFFAOYSA-N	[M-H]-	117.019309	0.68422818	0.484228176	0.884228176		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_6_P-1-R-F_1_Rg70to1050-CE102040--S1_Run44.mzML	HF_Aug2019	
n-acetyl-glutamic acid	RFMMMVDNIPUKGG-YFKPBYRVSA-N	[M-H]-	188.056423	0.684504173	0.484504173	0.88450417		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_25_P-4-R-A_1_Rg70to1050-CE102040--S1_Run139.mzML	HF_Aug2019	
SODIUM OXYBATE	SJZRECIVHVDYJC-UHFFFAOYSA-N	[M-H]-	103.040068116	0.6930963582866737	0.1930963582866737	1.1930963582866738		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_5_MS-P1-C6_1_Rg80to1200-CE205060norm--S1_Run37.h5	HF_Aug2019	
uridine	DRTQHJPVMGBUCF-XVFCMESISA-N	[M-H]-	243.062236	0.70260281	0.502602814	0.90260281		negative				20190221_KBL_TN-KZ_EMA_KZStds_Vials1to18_QE-HF_C18_USDAY46910_NEG_MSMS_1_KZ-stds-100MeOH_1_Rg70to1050-CE102040--S1_Run13.mzML	HF_Aug2019	
trans-aconitate	GTZCVFVGUGFEME-HNQUOIGGSA-N	[M-H]-	173.0091379	0.70969119	0.50969119	0.909691195		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_8_P-1-R-H_1_Rg70to1050-CE102040--S1_Run54.mzML	HF_Aug2019	
purine	KDCGOANMDULRCW-UHFFFAOYSA-N	[M-H]-	119.036296	0.709757319	0.50975732	0.909757319		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_67_P-9-R-C_1_Rg90to1350-CE102040--S1_Run342.mzML	HF_Aug2019	
aniline-2-sulfonic acid	ZMCHBSMFKQYNKA-UHFFFAOYSA-N	[M-H]-	172.007364	0.71440783	0.51440783	0.914407828		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_25_P-4-R-A_1_Rg70to1050-CE102040--S1_Run139.mzML	HF_Aug2019	
(z)-4-((carboxymethyl)amino)-4-oxobut-2-enoic acid	JKCBZBFTTXFZGH-UPHRSURJSA-N	[M-H]-	172.0251223	0.71442917	0.51442917	0.914429171		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_269_P-34-R-E_1_Rg90to1350-CE102040--S1_Run1352.mzML	HF_Aug2019	
citramalate	XFTRTWQBIOMVPK-UHFFFAOYSA-N	[M-H]-	147.029873	0.719005627	0.519005627	0.91900563		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_29_P-4-R-E_1_Rg70to1050-CE102040--S1_Run159.mzML	HF_Aug2019	
(-)-corey lactone diol	VYTZWRCSPHQSFX-GBNDHIKLSA-N	[M+formate]-	217.07176	0.72812149	0.52812149	0.92812149		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_54_P-7-R-F_1_Rg90to1350-CE102040--S1_Run277.mzML	HF_Aug2019	
3,4-dihydroxyphenylacetate	CFFZDZCDUFSOFZ-UHFFFAOYSA-N	[M-H]-	167.0349587	0.73249969	0.532499693	0.93249969		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_38_P-5-R-F_1_Rg70to1050-CE102040--S1_Run38.mzML	HF_Aug2019	
2-methylquinoline-3,4-dicarboxylic acid	BQGFRFCKVQNHEC-UHFFFAOYSA-N	[M-H]-	230.045858	0.73281886	0.53281886	0.93281886		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_220_P-28-R-D_1_Rg90to1350-CE102040--S1_Run1107.mzML	HF_Aug2019	
THIOGUANINE	WYWHKKSPHMUBEB-UHFFFAOYSA-N	[M-H]-	166.01929016	0.7417741766980169	0.24177417669801693	1.241774176698017		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_49_MS-P5-C10_1_Rg80to1200-CE102040norm--S1_Run266.h5	HF_Aug2019	
2-amino-3-hydroxy-3-phenylpropanoic acid	VHVGNTVUSQUXPS-UHFFFAOYSA-N	[M-H]-	180.0665932	0.74639948	0.546399481	0.94639948		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_57_P-8-R-A_1_Rg90to1350-CE102040--S1_Run292.mzML	HF_Aug2019	
