compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
8-chloro-4'-methylflavanone	WVHGFNNGQXYDIJ-UHFFFAOYSA-N	[M-H]-	271.053107	3.98045587	3.78045587	4.18045587		negative				20190201_KBL_TN_EMA_TimTec-FL500_PL1to7_QEHF_C18-USDAY46910_Stds1_NEG_MSMS_22_P-3-R-F_1_Rg90to1350-CE102040--S1_Run117.mzML	HF_Aug2019	
6-bromo-2-naphthyl b-galactoside	NLRXQZJJCPRATR-LYYZXLFJSA-N	[M+formate]-	429.019051	3.98097476	3.78097476	4.18097476		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_60_P-8-R-D_1_Rg90to1350-CE102040--S1_Run307.mzML	HF_Aug2019	
veratridine	FVECELJHCSPHKY-YFUMOZOISA-N	[M-H]-	672.338912	3.98260821	3.782608214	4.18260821		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_12_P-2-R-D_1_Rg90to1350-CE102040--S1_Run67.mzML	HF_Aug2019	
4-[4-(cyclopentylamino)quinazolin-2-yl]piperazinyl cyclopropyl ketone	KTYYYOGHINRVAS-UHFFFAOYSA-N	[M+Cl]-	400.190961	3.98282123	3.78282123	4.18282123		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_258_P-33-R-B_1_Rg90to1350-CE102040--S1_Run1297.mzML	HF_Aug2019	
glycine, n-(4-chlorobenzoyl)-, methyl ester	DMKJJRYYEGTEFE-UHFFFAOYSA-N	[M-H]-	226.027621	3.98334099	3.78334099	4.18334099		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_54_P-7-R-F_1_Rg90to1350-CE102040--S1_Run277.mzML	HF_Aug2019	
n-(2-methoxy-5-methylphenyl)-2-(9-methyl-6-oxohydropurin-8-ylthio)acetamide	SSFWIUOMLBBFCS-UHFFFAOYSA-N	[M-H]-	358.09791	3.98459872	3.784598717	4.18459872		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_166_P-21-R-F_1_Rg90to1350-CE102040--S1_Run837.mzML	HF_Aug2019	
2-[4-(2-furylcarbonyl)piperazinyl]-n-(6-methoxybenzothiazol-2-yl)acetamide	DNWQUBSBJPTPTN-UHFFFAOYSA-N	[M-H]-	399.113226	3.98728453	3.787284526	4.18728453		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_224_P-28-R-H_1_Rg90to1350-CE102040--S1_Run1127.mzML	HF_Aug2019	
DIPYRIDAMOLE	IZEKFCXSFNUWAM-UHFFFAOYSA-N	[M+Cl]-	539.28665376	3.987613020623267	3.487613020623267	4.487613020623268		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_16_MS-P2-C7_1_Rg80to1200-CE102040norm--S1_Run93.h5	HF_Aug2019	
PREDNISONE	XOFYZVNMUHMLCC-BDQMTFAOSA-N	[M-H]-	357.1707479319999	3.987793315718038	3.487793315718038	4.487793315718038		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_40_MS-P4-C11_1_Rg80to1200-CE205060norm--S1_Run220.h5	HF_Aug2019	
PREDNISOLONE	OIGNJSKKLXVSLS-YDAVOWJHSA-N	[M+Cl]-	395.1630759959999	3.9894122620619417	3.4894122620619417	4.489412262061942		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_38_MS-P4-C9_1_Rg80to1200-CE205060norm--S1_Run210.h5	HF_Aug2019	
methyl 2-amino-4-(2-fluorophenyl)-6-(hydroxymethyl)-8-oxo-4h-pyrano[3,2-b]pyra n-3-carboxylate	ZYJFTUZFDDQOJY-UHFFFAOYSA-N	[M-H]-	346.073215	3.99036382	3.79036382	4.19036382		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_113_P-15-R-A_1_Rg90to1350-CE102040--S1_Run572.mzML	HF_Aug2019	
PIPERACILLIN SODIUM	IVBHGBMCVLDMKU-UVIOZBFDSA-N	[M-H]-	516.1558432039998	3.9908108707350016	3.4908108707350016	4.490810870735002		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_32_MS-P4-C3_1_Rg80to1200-CE205060norm--S1_Run178.h5	HF_Aug2019	
ERYTHROMYCIN	ULGZDMOVFRHVEP-RWJQBGPGSA-N	[M+Cl]-	768.430643204	3.991022387885929	3.491022387885929	4.491022387885929		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_13_MS-P2-C4_1_Rg80to1200-CE205060norm--S1_Run79.h5	HF_Aug2019	
ERYTHROMYCIN	ULGZDMOVFRHVEP-RWJQBGPGSA-N	[M-H]-	732.453965204	3.991022387885929	3.491022387885929	4.491022387885929		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_13_MS-P2-C4_1_Rg80to1200-CE205060norm--S1_Run79.h5	HF_Aug2019	
DAUNORUBICIN HYDROCHLORIDE	STQGQHZAVUOBTE-VGBVRHCVSA-N	[M-H]-	526.1718701279998	3.991908995367922	3.491908995367922	4.491908995367922		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_19_MS-P2-C10_1_Rg80to1200-CE102040norm--S1_Run110.h5	HF_Aug2019	
n-[4-(acetylamino)phenyl]-2-[2-oxo-4-(piperidylcarbonyl)hydroquinolyl]acetamid e	YHSXVQSQYZIOCP-UHFFFAOYSA-N	[M-H]-	445.188105	3.99232675	3.79232675	4.19232675		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_144_P-18-R-H_1_Rg90to1350-CE102040--S1_Run727.mzML	HF_Aug2019	
8-(2,4-dichloro-benzylsulfanyl)-9h-purin-6-ylamine	CDLPNZNDVSGKOD-UHFFFAOYSA-N	[M-H]-	323.988272	3.99267964	3.79267964	4.19267964		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_299_P-38-R-C_1_Rg90to1350-CE102040--S1_Run1502.mzML	HF_Aug2019	
10-hydroxydecanoate	YJCJVMMDTBEITC-UHFFFAOYSA-N	[M-H]-	187.133945	3.9943013	3.794301304	4.1943013		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_37_P-5-R-E_1_Rg70to1050-CE102040--S1_Run33.mzML	HF_Aug2019	
8-[(2,6-dimethylpiperidyl)methyl]-7-hydroxy-4-phenylchromen-2-one	ARHMXGGUMSXGFS-UHFFFAOYSA-N	[M-H]-	362.176144	3.99785289	3.79785289	4.19785289		negative				20190201_KBL_TN_EMA_TimTec-FL500_PL1to7_QEHF_C18-USDAY46910_Stds1_NEG_MSMS_4_P-1-R-D_1_Rg90to1350-CE102040--S1_Run27.mzML	HF_Aug2019	
ETOPOSIDE	VJJPUSNTGOMMGY-GEGAHKOSSA-N	[M-H]-	587.1770150839998	3.9994732644601054	3.4994732644601054	4.499473264460105		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_42_MS-P5-C3_1_Rg80to1200-CE205060norm--S1_Run230.h5	HF_Aug2019	
n-(4-chlorophenyl)-2-(2,3,3-trimethyl(2,3,4-trihydroisoquinolylidene))acetamid e	LDCABCUQAIBQFL-PDGQHHTCSA-N	[M+Cl]-	375.103641	4.00143325	3.80143325	4.201433245		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_281_P-36-R-A_1_Rg90to1350-CE102040--S1_Run1412.mzML	HF_Aug2019	
4-methoxycinnamic acid	AFDXODALSZRGIH-QPJJXVBHSA-N	[M-H]-	177.0556942	4.00315655	3.803156547	4.20315655		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_69_P-9-R-E_1_Rg90to1350-CE102040--S1_Run352.mzML	HF_Aug2019	
ethyl 2-[(4-methoxy-3-nitrobenzoyl)amino]acetate	IUFNZEBZYYCLOL-UHFFFAOYSA-N	[M-H]-	281.077886	4.00331299	3.80331299	4.20331299		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_12_P-2-R-D_1_Rg90to1350-CE102040--S1_Run67.mzML	HF_Aug2019	
PREDNISOLONE	OIGNJSKKLXVSLS-YDAVOWJHSA-N	[M-H]-	359.1863979959999	4.003397543848527	3.5033975438485268	4.503397543848527		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_38_MS-P4-C9_1_Rg80to1200-CE102040norm--S1_Run209.h5	HF_Aug2019	
CHLORAMPHENICOL SODIUM SUCCINATE	LIRCDOVJWUGTMW-NKUHCKNESA-N	[M-H]-	421.02109483199996	4.004031727017521	3.504031727017521	4.504031727017521		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_1_MS-P1-C2_1_Rg80to1200-CE102040norm--S1_Run16.h5	HF_Aug2019	
1-(3-methoxy-4-propoxyphenyl)-1,2,3,4-tetrahydrobeta-carboline-3-carboxylic ac id	ATSXTPFQAGOKOC-UHFFFAOYSA-N	[M-H]-	379.166307	4.00425506	3.804255064	4.20425506		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_121_P-16-R-A_1_Rg90to1350-CE102040--S1_Run612.mzML	HF_Aug2019	
(8aR,9R)-5-[(7,8-dihydroxy-2-methyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl)oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one	VJJPUSNTGOMMGY-BQZFVAJISA-N	[M+formate]-	633.182492	4.0048322	3.804832198	4.2048322		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_78_P-10-R-F_1_Rg90to1350-CE102040--S1_Run397.mzML	HF_Aug2019	
2-amino-4-(4-bromophenyl)-6-(hydroxymethyl)-8-oxo-4h-pyrano[3,2-b]pyran-3-carb onitrile	YFNPRWZVZFBBMG-UHFFFAOYSA-N	[M-H]-	372.982919	4.00586584	3.805865835	4.20586584		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_172_P-22-R-D_1_Rg90to1350-CE102040--S1_Run867.mzML	HF_Aug2019	
2,2,2-trifluoroethyl 6-(4-hydroxy-3-methoxyphenyl)-4-methyl-2-oxo-1,3,6-trihyd ropyrimidine-5-carboxylate	SFFXUSZBTBFROX-UHFFFAOYSA-N	[M-H]-	359.086006	4.0072297	3.807229699	4.2072297		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_271_P-34-R-G_1_Rg90to1350-CE102040--S1_Run1362.mzML	HF_Aug2019	
PARACHLOROPHENOL	WXNZTHHGJRFXKQ-UHFFFAOYSA-N	[M-H]-	126.99561646	4.007716701848192	3.5077167018481923	4.507716701848192		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_35_MS-P4-C6_1_Rg80to1200-CE102040norm--S1_Run192.h5	HF_Aug2019	
5-[(3,4-dimethoxyphenyl)methyl]-1-prop-2-enyl-1,3-diazinane-2,4,6-trione	NNMGFXIYGXIDHC-UHFFFAOYSA-N	[M-H]-	317.114272	4.00862908	3.80862908	4.20862908		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_34_P-5-R-B_1_Rg90to1350-CE102040--S1_Run177.mzML	HF_Aug2019	
2-(9-methyl-6-oxohydropurin-8-ylthio)-n-(3-methylthiophenyl)acetamide	UQTHBDYONIABLH-UHFFFAOYSA-N	[M-H]-	360.059417	4.01074512	3.810745123	4.210745123		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_153_P-20-R-A_1_Rg90to1350-CE102040--S1_Run772.mzML	HF_Aug2019	
2-amino-6-(hydroxymethyl)-4-naphthyl-8-oxo-4h-pyrano[3,2-b]pyran-3-carbonitril e	DCECXXVEKNNRNY-UHFFFAOYSA-N	[M-H]-	345.088057	4.01389419	3.81389419	4.213894191		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_176_P-22-R-H_1_Rg90to1350-CE102040--S1_Run887.mzML	HF_Aug2019	
8-[(2-fluorophenyl)methylthio]-9-methylhydropurin-6-one	VGEQWSRFSNNMJZ-UHFFFAOYSA-N	[M-H]-	289.05646	4.0160541	3.8160541	4.2160541		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_160_P-20-R-H_1_Rg90to1350-CE102040--S1_Run807.mzML	HF_Aug2019	
2-{4-[(6-ethoxy-2-oxochromen-4-yl)methyl]piperazinyl}-n-(4-fluorophenyl)-n-met hylacetamide	ZGLNVVWEMVDGCL-UHFFFAOYSA-N	[M+Cl]-	488.175785	4.01731953	3.817319529	4.21731953		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_138_P-18-R-B_1_Rg90to1350-CE102040--S1_Run697.mzML	HF_Aug2019	
butyl gallate	XOPOEBVTQYAOSV-UHFFFAOYSA-N	[M-H]-	225.076824	4.02074289	3.82074289	4.22074289		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_2_P-1-R-B_1_Rg90to1350-CE102040--S1_Run17.mzML	HF_Aug2019	
2-methoxyethyl 2-amino-4-(2-fluorophenyl)-6-(hydroxymethyl)-8-oxo-4h-pyrano[3, 2-b]pyran-3-carboxylate	WKANKAPDOZGYJK-UHFFFAOYSA-N	[M-H]-	390.0994301	4.02101803	3.82101803	4.22101803		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_120_P-15-R-H_1_Rg90to1350-CE102040--S1_Run607.mzML	HF_Aug2019	
vepesid j	VJJPUSNTGOMMGY-SEMSPOPGSA-N	[M+formate]-	633.182492	4.02345827	3.82345827	4.22345827		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_5_P-1-R-E_1_Rg90to1350-CE102040--S1_Run32.mzML	HF_Aug2019	
3,4-dimethoxy-n-[1-(propan-2-yl)-1h-pyrazol-4-yl]benzamide	SHUOKCBLSKVCNR-UHFFFAOYSA-N	[M+Cl]-	324.1120415	4.02523544	3.825235441	4.225235441		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_291_P-37-R-C_1_Rg90to1350-CE102040--S1_Run1462.mzML	HF_Aug2019	
3-nitrophenyl 4-pyridyl ketone	NRWQXMJAOUMLEO-UHFFFAOYSA-N	[M+formate]-	273.051693	4.02818902	3.828189018	4.22818902		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_191_P-24-R-G_1_Rg90to1350-CE102040--S1_Run962.mzML	HF_Aug2019	
2h-benzo[3,4-d]1,3-dioxolen-5-yl-n-(1-carbamoyl-2-phenylethyl)carboxamide	ASOPKRIVVRPMHV-UHFFFAOYSA-N	[M-H]-	311.103707	4.02832572	3.82832572	4.22832572		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_147_P-19-R-C_1_Rg90to1350-CE102040--S1_Run742.mzML	HF_Aug2019	
2-[4-(morpholin-4-ylcarbonyl)-2-oxohydroquinolyl]-n-phenylacetamide	QXWMHIPWXLLFJJ-UHFFFAOYSA-N	[M-H]-	390.145906	4.02882017	3.82882017	4.22882017		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_138_P-18-R-B_1_Rg90to1350-CE102040--S1_Run697.mzML	HF_Aug2019	
6-amino-4-(3,5-dimethoxyphenyl)-3-methyl-4h-pyrano[2,3-c]pyrazole-5-carbonitri le	BTSYQAFRWYWCHL-UHFFFAOYSA-N	[M-H]-	311.11494	4.03011201	3.830112007	4.23011201		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_109_P-14-R-E_1_Rg90to1350-CE102040--S1_Run552.mzML	HF_Aug2019	
butein	AYMYWHCQALZEGT-ORCRQEGFSA-N	[M-H]-	271.061174	4.03055269	3.830552693	4.23055269		negative				20190115_KBL_TN_EMA_Enzo_Pl1to6_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_13_P-2-R-E_1_Rg90to1350-CE102040--S1_Run72.mzML	HF_Aug2019	
L-PHENYLEPHRINE HYDROCHLORIDE	SONNWYBIRXJNDC-VIFPVBQESA-N	[M-H]-	166.087352656	4.031542037409421	3.5315420374094213	4.531542037409421		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_36_MS-P4-C7_1_Rg80to1200-CE205060norm--S1_Run198.h5	HF_Aug2019	
2-((12br,6br)(12b,6b-dihydro-10h-chromano[3,4-d]1,3-dioxolano[4',5'-5,4]benzo[ b]furan-4-yloxy))-6-(hydroxymethyl)-2h-3,4,5,6-tetrahydropyran-3,4,5-triol	VGSYCWGXBYZLLE-BBSFEAJNSA-N	[M+formate]-	491.119498	4.03228084	3.83228084	4.23228084		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_56_P-7-R-H_1_Rg90to1350-CE102040--S1_Run287.mzML	HF_Aug2019	
capecitabine	GAGWJHPBXLXJQN-UORFTKCHSA-N	[M-H]-	358.1419636	4.03336287	3.83336287	4.23336287		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_225_P-29-R-A_1_Rg90to1350-CE102040--S1_Run1132.mzML	HF_Aug2019	
[(3,5-dimethoxyphenyl)(3-hydroxy-5-methylpyrazol-4-yl)methyl]methane-1,1-dicar bonitrile	SBVSOAVADOBQRC-UHFFFAOYSA-N	[M-H]-	311.11494	4.03341297	3.833412969	4.23341297		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_197_P-25-R-E_1_Rg90to1350-CE102040--S1_Run992.mzML	HF_Aug2019	
(R)-n-acetyl-2-naphthylalanine	HGTIILKZSFKZMS-CQSZACIVSA-N	[M-H]-	256.097893	4.033591	3.833591	4.233591		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_47_P-6-R-G_1_Rg90to1350-CE102040--S1_Run242.mzML	HF_Aug2019	
2-[4-(2h-benzo[3,4-d]1,3-dioxolan-5-yl)-5-(3,4,5-trimethoxyphenyl)-1,2,4-triaz ol-3-ylthio]acetamide	ATYZSMMAOAHRHB-UHFFFAOYSA-N	[M+formate]-	489.108556	4.03472002	3.834720017	4.23472002		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_184_P-23-R-H_1_Rg90to1350-CE102040--S1_Run927.mzML	HF_Aug2019	
cobadex	JYGXADMDTFJGBT-VWUMJDOOSA-N	[M+formate]-	407.207525	4.03574515	3.83574515	4.23574515		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_45_P-6-R-E_1_Rg90to1350-CE102040--S1_Run232.mzML	HF_Aug2019	
(3z)-3-(3-hydroxy-4-methoxybenzylidene)-5,6-dimethoxy-1,3-dihydro-2h-indol-2-one	MJBHSHSRMSKBHC-SDQBBNPISA-N	[M-H]-	326.103373	4.03587446	3.835874463	4.23587446		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_248_P-31-R-H_1_Rg90to1350-CE102040--S1_Run1247.mzML	HF_Aug2019	
2',4'-dihydroxyflavone	CZYNUKPCSYBXCE-UHFFFAOYSA-N	[M-H]-	253.050609	4.03593357	3.83593357	4.23593357		negative				20190201_KBL_TN_EMA_TimTec-FL500_PL1to7_QEHF_C18-USDAY46910_Stds1_NEG_MSMS_16_P-2-R-H_1_Rg90to1350-CE102040--S1_Run87.mzML	HF_Aug2019	
HYDROCORTISONE	JYGXADMDTFJGBT-YDAVOWJHSA-N	[M-H]-	361.2020480599999	4.036692871882032	3.536692871882032	4.536692871882032		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_5_MS-P1-C6_1_Rg80to1200-CE102040norm--S1_Run36.h5	HF_Aug2019	
camptothecin	VSJKWCGYPAHWDS-UHFFFAOYSA-N	[M-H]-	347.103707	4.03915726	3.83915726	4.239157258		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_21_P-3-R-E_1_Rg90to1350-CE102040--S1_Run112.mzML	HF_Aug2019	
3,3',5'-triiodothyronine	HZCBWYNLGPIQRK-LBPRGKRZSA-N	[M-H]-	649.782752	4.04012584	3.84012584	4.24012584		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_51_P-7-R-C_1_Rg70to1050-CE102040--S1_Run63.mzML	HF_Aug2019	
icarrin	TZJALUIVHRYQQB-UFKHBSOKSA-N	[M+formate]-	721.234922	4.0420742	3.8420742	4.242074204		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_63_P-8-R-G_1_Rg90to1350-CE102040--S1_Run322.mzML	HF_Aug2019	
n-(2,3-dimethylphenyl)-2-(9-ethyl-6-oxohydropurin-8-ylthio)acetamide	WEVHUPUBLDYPTK-UHFFFAOYSA-N	[M-H]-	356.118646	4.04363591	3.84363591	4.24363591		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_192_P-24-R-H_1_Rg90to1350-CE102040--S1_Run967.mzML	HF_Aug2019	
sissotrine	LFEUICHQZGNOHD-UHFFFAOYSA-N	[M+formate]-	491.119498	4.04368354	3.84368354	4.24368354		negative				20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_NEG_MSMS_7_P-1-R-G_1_Rg90to1350-CE102040--S1_Run42.mzML	HF_Aug2019	
n-{4,5-dimethoxy-2-[2-(methoxycarbonylamino)ethyl]phenyl}(3,4-dimethoxyphenyl) carboxamide	YMTWGECBPUKQFD-UHFFFAOYSA-N	[M-H]-	417.166701	4.04378362	3.843783624	4.24378362		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_210_P-27-R-B_1_Rg90to1350-CE102040--S1_Run1057.mzML	HF_Aug2019	
(4-oxo-1,2,3,4-tetrahydro-5h-cyclopenta[c]quinolin-5-yl)acetic acid	WUWDCYBBYOWOOG-UHFFFAOYSA-N	[M-H]-	242.082243	4.0447116	3.8447116	4.2447116		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_263_P-33-R-G_1_Rg90to1350-CE102040--S1_Run1322.mzML	HF_Aug2019	
2-(9-ethyl-6-oxohydropurin-8-ylthio)-n-(2-ethylphenyl)acetamide	USRZGIQSGSHFNC-UHFFFAOYSA-N	[M-H]-	356.118646	4.046715448	3.846715448	4.246715448		negative				20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_NEG_MSMS_187_P-24-R-C_1_Rg90to1350-CE102040--S1_Run942.mzML	HF_Aug2019	
