label	compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	lcmsrun_source	rt_space
1-(2,3-dihydro-1,4-benzodioxin-6-yl)-2-(1h-1,2,3-triazol-5-ylsulfanyl)ethanone	1-(2,3-dihydro-1,4-benzodioxin-6-yl)-2-(1h-1,2,3-triazol-5-ylsulfanyl)ethanone	LHCSEROEGNNAEM-UHFFFAOYSA-N	[M+H]+	278.059412	3.8345745	3.6345745	4.0345745	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_297_P-38-R-A_1_Rg90to1350-CE102040--S1_Run1490.mzML	HF_Aug2019
2-chloro-n-[2-(3,4-dimethoxyphenyl)ethyl]acetamide	2-chloro-n-[2-(3,4-dimethoxyphenyl)ethyl]acetamide	WWBJEBQJHYKQHM-UHFFFAOYSA-N	[M+H]+	258.089171	3.83548568	3.63548568	4.03548568	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_213_P-27-R-E_1_Rg90to1350-CE102040--S1_Run1070.mzML	HF_Aug2019
1-[6-amino-1-(4-methoxyphenyl)-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl]-3-(3-chlorophenyl)urea	1-[6-amino-1-(4-methoxyphenyl)-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl]-3-(3-chlorophenyl)urea	RRIMBVQOBXHVDN-UHFFFAOYSA-N	[M+H]+	402.096382	3.83644358	3.63644358	4.03644358	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_214_P-27-R-F_1_Rg90to1350-CE102040--S1_Run1075.mzML	HF_Aug2019
2-(9-methyl-6-oxohydropurin-8-ylthio)-n-(4-methylphenyl)acetamide	2-(9-methyl-6-oxohydropurin-8-ylthio)-n-(4-methylphenyl)acetamide	ZHAOBWFDPQHEGQ-UHFFFAOYSA-N	[M+H]+	330.101946	3.83651006	3.63651006	4.03651006	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_167_P-21-R-G_1_Rg90to1350-CE102040--S1_Run840.mzML	HF_Aug2019
aldosterone	aldosterone	PQSUYGKTWSAVDQ-UHFFFAOYSA-N	[M+H]+	361.200974	3.83686022	3.636860217	4.03686022	5.0	positive		20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_POS_MSMS_80_P-10-R-H_1_Rg90to1350-CE102040--S1_Run405.mzML	HF_Aug2019
3-({4-[(6-ethoxy-2-oxochromen-4-yl)methyl]piperazinyl}methyl)-4-methoxybenzald ehyde	3-({4-[(6-ethoxy-2-oxochromen-4-yl)methyl]piperazinyl}methyl)-4-methoxybenzald ehyde	QKPSZJIIJYKERL-UHFFFAOYSA-N	[M+H]+	437.207122	3.83787006	3.637870055	4.03787006	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_147_P-19-R-C_1_Rg90to1350-CE102040--S1_Run740.mzML	HF_Aug2019
8-[(2-hydroxy-2-phenylethyl)amino]-1,3,7-trimethyl-1,3,7-trihydropurine-2,6-di one	8-[(2-hydroxy-2-phenylethyl)amino]-1,3,7-trimethyl-1,3,7-trihydropurine-2,6-di one	JXNWYWZIOMMTSY-UHFFFAOYSA-N	[M+H]+	330.15609	3.8393185	3.6393185	4.0393185	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_38_P-5-R-F_1_Rg90to1350-CE102040--S1_Run195.mzML	HF_Aug2019
2-(9-methyl-6-oxohydropurin-8-ylthio)-n-(3-methylphenyl)acetamide	2-(9-methyl-6-oxohydropurin-8-ylthio)-n-(3-methylphenyl)acetamide	OTWOCXUXCQGJON-UHFFFAOYSA-N	[M+H]+	330.101946	3.83972718	3.63972718	4.03972718	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_160_P-20-R-H_1_Rg90to1350-CE102040--S1_Run805.mzML	HF_Aug2019
cycloheximide	cycloheximide	YPHMISFOHDHNIV-FSZOTQKASA-N	[M+H]+	282.170008	3.84022204	3.64022204	4.04022204	5.0	positive		20190206_KBL_TN_EMA_TimTec-NPL800_PL1to10_QE-HF_C18-USDAY46910_Stds1_POS_MSMS_40_P-5-R-H_1_Rg90to1350-CE102040--S1_Run205.mzML	HF_Aug2019
6-{[4-(2-furoyl)piperazin-1-yl]sulfonyl}-4-methylquinolin-2(1h)-one	6-{[4-(2-furoyl)piperazin-1-yl]sulfonyl}-4-methylquinolin-2(1h)-one	BPTALPXCCGYQLE-UHFFFAOYSA-N	[M+H]+	402.111842	3.84167137	3.64167137	4.04167137	5.0	positive		20190315_KBL-AK_TN_EMA_TimTec-NPL3000_PL1to38_QE-HF_C18_USDAY47548_POS_MSMS_199_P-25-R-G_1_Rg90to1350-CE102040--S1_Run1000.mzML	HF_Aug2019
